rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
3,3,0,OLD,20158799,눈길,2017-03-01,63072100,5.5,-272600,-0.4,444987300,8157,-915,-10.1,58242,416,1034,2017-03-03,K
4,4,0,OLD,20150964,조작된 도시,2017-02-09,43770800,3.8,14239400,48.2,19774788987,5293,1297,32.5,2467859,264,429,2017-03-03,K
5,5,0,OLD,20161723,싱글라이더,2017-02-22,36081600,3.2,10147100,39.1,2503934121,4312,651,17.8,328052,227,328,2017-03-03,K
6,6,0,OLD,20150753,눈발,2017-03-01,7982400,0.7,2821600,54.7,70105300,903,211,30.5,7692,63,86,2017-03-03,K
7,7,1,OLD,20166422,커피 메이트,2017-03-01,5437500,0.5,994500,22.4,26082000,652,53,8.8,3186,99,177,2017-03-03,K
8,8,-1,OLD,20154802,아티스트: 다시 태어나다,2017-03-09,4050000,0.4,264000,7,11326800,450,-181,-28.7,1591,1,1,2017-03-03,K
9,9,1,OLD,20151228,공조,2017-01-18,3434600,0.3,915100,36.3,63758727926,413,83,25.2,7814605,34,43,2017-03-03,K
10,10,1,OLD,20156562,루시드 드림,2017-02-22,2017500,0.2,531000,35.7,748538000,261,46,21.4,100665,25,29,2017-03-03,K
1,1,0,OLD,20161827,로건,2017-03-01,1058967148,62.3,341483348,47.6,4855131948,120875,29272,32,567758,852,3710,2017-03-03,F
2,2,0,OLD,20170241,23 아이덴티티,2017-02-22,312842052,18.4,65450952,26.5,11173458652,36224,4101,12.8,1384441,499,2029,2017-03-03,F
3,3,0,OLD,20165927,문라이트,2017-02-22,54519000,3.2,14429900,36,658449000,6545,1164,21.6,82957,162,300,2017-03-03,F
4,4,1,OLD,20166468,사일런스,2017-02-28,48776600,2.9,12537200,34.6,258479500,6131,995,19.4,33244,342,592,2017-03-03,F
5,5,1,OLD,20166101,존 윅 - 리로드,2017-02-22,48766500,2.9,13686100,39,1867223600,5593,1071,23.7,230740,170,436,2017-03-03,F
6,6,2,OLD,20167904,라라랜드,2016-12-07,45927000,2.7,20509900,80.7,27909541528,5279,1912,56.8,3337453,137,199,2017-03-03,F
7,7,-3,OLD,20161744,트롤,2017-02-16,23910500,1.4,-14339600,-37.5,4400160800,2958,-2411,-44.9,597580,233,352,2017-03-03,F
8,8,1,OLD,20167922,핵소 고지,2017-02-22,16634800,1.0,4923000,42,1186203000,2051,416,25.4,156061,101,142,2017-03-03,F
9,9,-2,OLD,20170509,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,14714500,0.9,-12250500,-45.4,587171500,1749,-1958,-52.8,76846,84,152,2017-03-03,F
10,10,4,OLD,20167645,맨체스터 바이 더 씨,2017-02-15,7696500,0.5,2379000,44.7,367339400,935,241,34.7,45766,43,49,2017-03-03,F
1,1,0,OLD,20161827,로건,2017-03-01,2396326817,38.2,1337359669,126.3,7251458765,269110,148235,122.6,836868,926,4029,2017-03-04,
2,2,0,OLD,20150971,해빙,2017-03-01,1626236917,25.9,855731569,111.1,6298585365,191841,100564,110.2,759624,915,4396,2017-03-04,
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,669656283,10.7,356814231,114.1,11843114935,77733,41509,114.6,1462174,539,1970,2017-03-04,
4,4,0,OLD,20166421,재심,2017-02-15,482742100,7.7,278227000,136,17647100637,57437,32458,129.9,2215684,535,1509,2017-03-04,
5,5,7,OLD,20161744,트롤,2017-02-16,174559600,2.8,150649100,630.1,4574720400,22276,19318,653.1,619856,395,760,2017-03-04,
6,6,-1,OLD,20158799,눈길,2017-03-01,125814300,2.0,62742200,99.5,570801600,16090,7933,97.3,74332,450,920,2017-03-04,
7,7,3,OLD,20167904,라라랜드,2016-12-07,114154800,1.8,68227800,148.6,28023696328,13089,7810,147.9,3350542,165,253,2017-03-04,
8,8,1,OLD,20150964,조작된 도시,2017-02-09,104955000,1.7,61184200,139.8,19879743987,12629,7336,138.6,2480488,259,438,2017-03-04,
