rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
4,4,0,OLD,20167005,데스노트: 더 뉴 월드,2017-03-29,36510300,1.0,-11890529,-24.6,175410963,4427,-1438,-24.5,22822,267,378,2017-04-02,F
5,5,0,OLD,20167364,미스 슬로운,2017-03-29,35550100,1.0,-5887600,-14.2,173477500,4182,-683,-14,22194,98,217,2017-04-02,F
6,6,0,OLD,20171661,아기돼지 3형제와 매직램프,2017-03-23,30216000,0.8,-313000,-1,180684600,3789,-106,-2.7,22930,90,119,2017-04-02,F
7,7,1,OLD,20171801,극장판 암살교실 : 365일의 시간,2017-03-23,18383500,0.5,-888500,-4.6,189289500,2469,-162,-6.2,25498,65,84,2017-04-02,F
8,8,-1,OLD,20172307,쿵푸 요가,2017-03-29,19211000,0.5,-5281500,-21.6,72611000,2415,-626,-20.6,9455,93,128,2017-04-02,F
9,9,2,OLD,20168183,콩: 스컬 아일랜드,2017-03-08,16072300,0.4,501700,3.2,13985192883,2033,51,2.6,1688976,70,93,2017-04-02,F
10,10,-1,OLD,20164926,분노,2017-03-30,16633100,0.5,-2886471,-14.8,80459737,2002,-369,-15.6,9912,93,128,2017-04-02,F
1,1,1,OLD,20162181,프리즌,2017-03-23,457732200,29.4,-1081211300,-70.3,18456278840,60719,-117326,-65.9,2275543,787,3505,2017-04-03,
2,2,-1,OLD,20164721,미녀와 야수,2017-03-16,375622700,24.1,-1614060700,-81.1,34114626376,49485,-190169,-79.4,4146856,790,3181,2017-04-03,
3,3,0,OLD,20163194,공각기동대 : 고스트 인 더 쉘,2017-03-29,262878300,16.9,-878681900,-77,4971771337,33326,-96537,-74.3,603027,736,3252,2017-04-03,
4,4,0,OLD,20151230,원라인,2017-03-29,181142200,11.6,-391668600,-68.4,2407563533,24601,-44976,-64.6,315632,554,1877,2017-04-03,
5,5,0,OLD,20167363,히든 피겨스,2017-03-23,73050300,4.7,-150309700,-67.3,2364193833,9860,-16657,-62.8,297347,356,794,2017-04-03,
6,6,0,NEW,20171381,라이프,2017-04-05,41948200,2.7,41948200,100,52986900,5420,5420,100,6867,341,540,2017-04-03,
7,7,-1,OLD,20167902,보통사람,2017-03-23,36624700,2.4,-63744800,-63.5,2875968523,5215,-7262,-58.2,371912,366,667,2017-04-03,
8,8,0,OLD,20167364,미스 슬로운,2017-03-29,17182500,1.1,-18367600,-51.7,190660000,2335,-1847,-44.2,24529,101,241,2017-04-03,
9,9,-2,OLD,20167005,데스노트: 더 뉴 월드,2017-03-29,11777000,0.8,-24733300,-67.7,187187963,1547,-2880,-65.1,24369,241,345,2017-04-03,
10,10,1,OLD,20179442,밤의 해변에서 혼자,2017-03-23,10346500,0.7,-9669300,-48.3,325023300,1433,-1022,-41.6,42158,64,160,2017-04-03,
1,1,0,OLD,20162181,프리즌,2017-03-23,457732200,65.8,-1081211300,-70.3,18456278840,60719,-117326,-65.9,2275543,787,3505,2017-04-03,K
2,2,0,OLD,20151230,원라인,2017-03-29,181142200,26.1,-391668600,-68.4,2407563533,24601,-44976,-64.6,315632,554,1877,2017-04-03,K
3,3,0,OLD,20167902,보통사람,2017-03-23,36624700,5.3,-63744800,-63.5,2875968523,5215,-7262,-58.2,371912,366,667,2017-04-03,K
4,4,0,OLD,20179442,밤의 해변에서 혼자,2017-03-23,10346500,1.5,-9669300,-48.3,325023300,1433,-1022,-41.6,42158,64,160,2017-04-03,K
5,5,0,NEW,20173301,"서서평, 천천히 평온하게",2017-04-26,4216000,0.6,4216000,100,5406000,527,527,100,697,2,2,2017-04-03,K
6,6,0,NEW,20161923,시간위의 집,2017-04-05,4192000,0.6,4192000,100,41842600,524,524,100,5612,2,2,2017-04-03,K
7,7,0,NEW,20168341,하얀 까마귀, ,302000,0.0,302000,100,3108000,151,151,100,1554,1,4,2017-04-03,K
8,8,0,NEW,20150964,조작된 도시,2017-02-09,150000,0.0,150000,100,20137425587,30,30,100,2514798,1,1,2017-04-03,K
9,9,-3,OLD,20172401,왕을 참하라,2017-03-16,132000,0.0,-202000,-60.5,32307800,22,-12,-35.3,4210,1,1,2017-04-03,K
10,10,1,OLD,20150753,눈발,2017-03-01,85000,0.0,52000,157.6,119731800,11,7,175,13542,2,2,2017-04-03,K
1,1,0,OLD,20164721,미녀와 야수,2017-03-16,375622700,43.7,-1614060700,-81.1,34114626376,49485,-190169,-79.4,4146856,790,3181,2017-04-03,F
2,2,0,OLD,20163194,공각기동대 : 고스트 인 더 쉘,2017-03-29,262878300,30.6,-878681900,-77,4971771337,33326,-96537,-74.3,603027,736,3252,2017-04-03,F
3,3,0,OLD,20167363,히든 피겨스,2017-03-23,73050300,8.5,-150309700,-67.3,2364193833,9860,-16657,-62.8,297347,356,794,2017-04-03,F
4,4,0,NEW,20171381,라이프,2017-04-05,41948200,4.9,41948200,100,52986900,5420,5420,100,6867,341,540,2017-04-03,F
5,5,0,OLD,20167364,미스 슬로운,2017-03-29,17182500,2.0,-18367600,-51.7,190660000,2335,-1847,-44.2,24529,101,241,2017-04-03,F
6,6,-2,OLD,20167005,데스노트: 더 뉴 월드,2017-03-29,11777000,1.4,-24733300,-67.7,187187963,1547,-2880,-65.1,24369,241,345,2017-04-03,F
